dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen,   0.50, 0.52, 0.50, 1.00, 0.03, 0.00, 0.07
wikidata_tekgen, verified, 0.55, 0.51, 0.51, 1.00, 0.04, 0.00, 0.05
wikidata_tekgen, all,      0.50, 0.45, 0.46, 1.00, 0.06, 0.00, 0.05
