dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.48, 0.55, 0.50, 0.03, 0.01, 0.97, 0.08
wikidata_tekgen, verified, 0.52, 0.54, 0.51, 0.01, 0.05, 0.99, 0.05
wikidata_tekgen, all, 0.46, 0.47, 0.44, 0.02, 0.09, 0.98, 0.06
dpedia_webnlg, all, 0.53, 0.51, 0.52, 0.01, 0.10, 0.99, 0.19
