onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.43, 0.39, 0.38, 0.99, 0.14, 0.01, 0.09
ont_2_music, 0.46, 0.43, 0.42, 1.00, 0.08, 0.00, 0.06
ont_3_sport, 0.53, 0.56, 0.52, 0.99, 0.08, 0.01, 0.07
ont_4_book, 0.43, 0.45, 0.41, 1.00, 0.02, 0.00, 0.06
ont_5_military, 0.31, 0.32, 0.31, 0.98, 0.07, 0.02, 0.07
ont_6_computer, 0.43, 0.45, 0.43, 0.89, 0.00, 0.11, 0.01
ont_7_space, 0.85, 0.85, 0.84, 1.00, 0.00, 0.00, 0.04
ont_8_politics, 0.47, 0.50, 0.48, 0.98, 0.07, 0.02, 0.10
ont_9_nature, 0.63, 0.68, 0.64, 1.00, 0.04, 0.00, 0.04
ont_10_culture, 0.67, 0.77, 0.70, 0.98, 0.00, 0.02, 0.02
