median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.060751, 0.296296, 0.098893, 1.000000, 0.021312, 0.000000, 0.039394
wikidata_tekgen, verified, 0.084945, 0.232519, 0.113828, 1.000000, 0.023109, 0.000000, 0.027265
wikidata_tekgen, all, 0.071497, 0.221442, 0.099649, 1.000000, 0.028528, 0.000000, 0.029366
dbpedia_webnlg, all, 0.095520, 0.184211, 0.125626, 1.000000, 0.008857, 0.000000, 0.027385

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.043199, 0.250000, 0.075491, 1.000000, 0.011949, 0.000000, 0.011725
wikidata_tekgen, verified, 0.053892, 0.219749, 0.084482, 1.000000, 0.015496, 0.000000, 0.014495
wikidata_tekgen, all, 0.055226, 0.202915, 0.088761, 1.000000, 0.021271, 0.000000, 0.024365
dbpedia_webnlg, all, 0.059003, 0.120190, 0.076674, 1.000000, 0.005405, 0.000000, 0.010877

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.082752, 0.424038, 0.123510, 1.000000, 0.047782, 0.000000, 0.072460
wikidata_tekgen, verified, 0.100459, 0.278700, 0.129946, 1.000000, 0.031149, 0.000000, 0.036531
wikidata_tekgen, all, 0.087051, 0.247355, 0.120470, 1.000000, 0.039177, 0.000000, 0.032681
dbpedia_webnlg, all, 0.123991, 0.263100, 0.153072, 1.000000, 0.016230, 0.000000, 0.031062

