onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.27, 0.76, 0.36, 1.07, 0.07, 0.93, 0.07
ont_2_music, 0.24, 0.99, 0.37, 1.15, 0.07, 0.85, 0.05
ont_3_sport, 0.13, 0.76, 0.21, 0.90, 0.02, 1.10, 0.05
ont_4_book, 0.22, 0.89, 0.33, 0.98, 0.05, 1.02, 0.03
ont_5_military, 0.07, 0.41, 0.11, 0.20, 0.05, 1.80, 0.11
ont_6_computer, 0.17, 0.97, 0.27, 0.72, 0.05, 1.28, 0.06
ont_7_space, 0.19, 1.19, 0.33, 0.46, 0.06, 1.54, 0.04
ont_8_politics, 0.14, 1.03, 0.24, 0.83, 0.04, 1.17, 0.07
ont_9_nature, 0.15, 0.97, 0.25, 0.90, 0.04, 1.10, 0.04
ont_10_culture, 0.01, 0.14, 0.03, 0.58, 0.04, 1.42, 0.04
