onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.23, 0.64, 0.31, 0.94, 0.08, 1.05, 0.06
ont_2_music, 0.24, 0.86, 0.35, 1.16, 0.09, 0.84, 0.05
ont_3_sport, 0.14, 0.75, 0.23, 0.88, 0.04, 1.12, 0.05
ont_4_book, 0.18, 0.78, 0.27, 0.88, 0.07, 1.12, 0.04
ont_5_military, 0.07, 0.49, 0.13, 0.25, 0.04, 1.75, 0.07
ont_6_computer, 0.18, 0.75, 0.27, 0.68, 0.07, 1.32, 0.05
ont_7_space, 0.16, 0.99, 0.28, 0.40, 0.04, 1.59, 0.05
ont_8_politics, 0.12, 0.85, 0.21, 0.70, 0.06, 1.29, 0.07
ont_9_nature, 0.11, 0.71, 0.19, 0.76, 0.06, 1.24, 0.08
ont_10_culture, 0.03, 0.23, 0.05, 0.49, 0.08, 1.51, 0.04
