onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.19, 0.23, 0.20, 0.51, 0.01, 0.49, 0.02
ont_2_music, 0.23, 0.33, 0.26, 0.63, 0.01, 0.37, 0.01
ont_3_sport, 0.14, 0.26, 0.17, 0.49, 0.01, 0.51, 0.01
ont_4_book, 0.20, 0.28, 0.22, 0.50, 0.01, 0.50, 0.01
ont_5_military, 0.06, 0.14, 0.08, 0.15, 0.02, 0.85, 0.02
ont_6_computer, 0.14, 0.23, 0.16, 0.36, 0.01, 0.64, 0.01
ont_7_space, 0.22, 0.49, 0.31, 0.25, 0.01, 0.75, 0.02
ont_8_politics, 0.17, 0.37, 0.23, 0.43, 0.01, 0.57, 0.04
ont_9_nature, 0.11, 0.30, 0.15, 0.43, 0.01, 0.57, 0.02
ont_10_culture, 0.03, 0.07, 0.05, 0.32, 0.00, 0.68, 0.00
