onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.12, 0.27, 0.17, 0.78, 0.00, 0.22, 0.00
ont_2_music, 0.16, 0.33, 0.22, 0.67, 0.00, 0.33, 0.02
ont_3_sport, 0.06, 0.12, 0.08, 0.44, 0.00, 0.56, 0.00
ont_4_book, 0.12, 0.25, 0.16, 0.66, 0.00, 0.34, 0.00
ont_5_military, 0.11, 0.21, 0.14, 0.14, 0.07, 0.86, 0.14
ont_6_computer, 0.22, 0.45, 0.30, 0.38, 0.00, 0.63, 0.03
ont_7_space, 0.15, 0.30, 0.20, 0.20, 0.15, 0.80, 0.10
ont_8_politics, 0.17, 0.33, 0.22, 0.58, 0.00, 0.42, 0.08
ont_9_nature, 0.18, 0.45, 0.26, 0.55, 0.00, 0.45, 0.00
ont_10_culture, 0.06, 0.12, 0.08, 0.31, 0.06, 0.69, 0.00
