onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.44, 0.36, 0.36, 1.00, 0.05, 0.00, 0.04
ont_2_music, 0.46, 0.35, 0.38, 1.00, 0.03, 0.00, 0.02
ont_3_sport, 0.56, 0.49, 0.50, 1.00, 0.04, 0.00, 0.04
ont_4_book, 0.41, 0.41, 0.38, 1.00, 0.02, 0.00, 0.02
ont_5_military, 0.36, 0.37, 0.36, 1.00, 0.04, 0.00, 0.01
ont_6_computer, 0.37, 0.38, 0.37, 0.98, 0.00, 0.02, 0.01
ont_7_space, 0.83, 0.83, 0.82, 0.99, 0.01, 0.01, 0.04
ont_8_politics, 0.45, 0.46, 0.45, 1.00, 0.03, 0.00, 0.04
ont_9_nature, 0.55, 0.56, 0.55, 1.00, 0.01, 0.00, 0.07
ont_10_culture, 0.63, 0.67, 0.64, 1.00, 0.00, 0.00, 0.00
