dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.50, 0.58, 0.53, 0.02, 0.01, 0.98, 0.08
wikidata_tekgen, verified, 0.46, 0.53, 0.47, 0.01, 0.05, 0.99, 0.05
wikidata_tekgen, all, 0.39, 0.44, 0.39, 0.02, 0.08, 0.98, 0.05
dpedia_webnlg, all, 0.49, 0.48, 0.48, 0.01, 0.09, 0.99, 0.17
