onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.50, 0.49, 0.49, 0.98, 0.00, 0.02, 0.03
ont_2_musicalwork, 0.29, 0.30, 0.29, 0.97, 0.50, 0.03, 0.18
ont_3_airport, 0.44, 0.42, 0.43, 1.00, 0.02, 0.00, 0.14
ont_4_building, 0.52, 0.50, 0.51, 0.99, 0.01, 0.01, 0.09
ont_5_athlete, 0.48, 0.47, 0.47, 0.98, 0.00, 0.02, 0.13
ont_6_politician, 0.57, 0.54, 0.55, 1.00, 0.06, 0.00, 0.18
ont_7_company, 0.56, 0.56, 0.56, 0.99, 0.01, 0.01, 0.28
ont_8_celestialbody, 0.75, 0.73, 0.74, 1.00, 0.07, 0.00, 0.36
ont_9_astronaut, 0.59, 0.58, 0.58, 1.00, 0.02, 0.00, 0.32
ont_10_comicscharacter, 0.52, 0.50, 0.51, 1.00, 0.53, 0.00, 0.20
ont_11_meanoftransportation, 0.40, 0.39, 0.40, 0.97, 0.02, 0.03, 0.22
ont_12_monument, 0.26, 0.27, 0.26, 1.00, 0.00, 0.00, 0.11
ont_13_food, 0.58, 0.57, 0.57, 0.99, 0.02, 0.01, 0.06
ont_14_writtenwork, 0.53, 0.53, 0.53, 1.00, 0.08, 0.00, 0.23
ont_15_sportsteam, 0.54, 0.52, 0.53, 1.00, 0.04, 0.00, 0.07
ont_16_city, 0.37, 0.37, 0.37, 1.00, 0.33, 0.00, 0.20
ont_17_artist, 0.35, 0.33, 0.34, 0.99, 0.00, 0.01, 0.06
ont_18_scientist, 0.68, 0.67, 0.67, 1.00, 0.00, 0.00, 0.24
ont_19_film, 0.41, 0.40, 0.40, 1.00, 0.02, 0.00, 0.15
