onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.07, 0.42, 0.12, 0.64, 0.04, 0.36, 0.01
ont_2_music, 0.06, 0.41, 0.10, 0.58, 0.02, 0.42, 0.00
ont_3_sport, 0.04, 0.25, 0.06, 0.49, 0.04, 0.51, 0.02
ont_4_book, 0.07, 0.40, 0.11, 0.53, 0.02, 0.47, 0.00
ont_5_military, 0.04, 0.29, 0.07, 0.09, 0.06, 0.91, 0.16
ont_6_computer, 0.09, 0.70, 0.15, 0.40, 0.01, 0.60, 0.05
ont_7_space, 0.04, 0.30, 0.08, 0.18, 0.16, 0.82, 0.09
ont_8_politics, 0.06, 0.50, 0.11, 0.50, 0.02, 0.50, 0.03
ont_9_nature, 0.06, 0.45, 0.10, 0.44, 0.04, 0.56, 0.01
ont_10_culture, 0.01, 0.12, 0.02, 0.19, 0.00, 0.81, 0.00
