dataset, subset,              P,    R,   F1,   OC,   SH,   RH,   OH
wikidata_tekgen, unseen,   0.21, 0.24, 0.22, 1.00, 0.01, 0.00, 0.02
wikidata_tekgen, verified, 0.22, 0.24, 0.21, 1.00, 0.01, 0.00, 0.01
wikidata_tekgen, all,      0.17, 0.19, 0.17, 1.00, 0.01, 0.00, 0.01
dpedia_webnlg,   all,      0.17, 0.09, 0.11, 1.00, 0.00, 0.00, 0.01
