dataset, subset,              P,    R,   F1,   OC,   SH,   RH,   OH
wikidata_tekgen, unseen,   0.04, 0.19, 0.07, 1.00, 0.01, 0.00, 0.02
wikidata_tekgen, verified, 0.04, 0.11, 0.05, 1.00, 0.00, 0.00, 0.01
wikidata_tekgen, all,      0.02, 0.06, 0.03, 1.00, 0.00, 0.00, 0.00
dpedia_webnlg,   all,      0.02, 0.02, 0.02, 1.00, 0.00, 0.00, 0.00
