onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.16, 0.28, 0.19, 0.51, 0.03, 0.49, 0.02
ont_2_music, 0.18, 0.38, 0.23, 0.62, 0.04, 0.38, 0.02
ont_3_sport, 0.11, 0.31, 0.16, 0.47, 0.01, 0.53, 0.02
ont_4_book, 0.15, 0.33, 0.19, 0.49, 0.03, 0.51, 0.01
ont_5_military, 0.05, 0.17, 0.07, 0.12, 0.01, 0.88, 0.03
ont_6_computer, 0.12, 0.28, 0.16, 0.36, 0.03, 0.64, 0.02
ont_7_space, 0.15, 0.49, 0.23, 0.26, 0.01, 0.74, 0.01
ont_8_politics, 0.12, 0.41, 0.18, 0.39, 0.03, 0.61, 0.03
ont_9_nature, 0.09, 0.32, 0.13, 0.42, 0.01, 0.58, 0.03
ont_10_culture, 0.03, 0.10, 0.04, 0.29, 0.02, 0.71, 0.01
