onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.14, 0.31, 0.19, 0.77, 0.00, 0.23, 0.00
ont_2_music, 0.16, 0.30, 0.20, 0.65, 0.00, 0.35, 0.00
ont_3_sport, 0.06, 0.12, 0.08, 0.48, 0.00, 0.52, 0.00
ont_4_book, 0.17, 0.30, 0.22, 0.72, 0.00, 0.28, 0.00
ont_5_military, 0.07, 0.14, 0.10, 0.07, 0.00, 0.93, 0.11
ont_6_computer, 0.25, 0.45, 0.32, 0.54, 0.00, 0.46, 0.03
ont_7_space, 0.15, 0.30, 0.20, 0.23, 0.15, 0.77, 0.10
ont_8_politics, 0.17, 0.33, 0.22, 0.62, 0.00, 0.38, 0.00
ont_9_nature, 0.19, 0.45, 0.26, 0.61, 0.00, 0.39, 0.00
ont_10_culture, 0.06, 0.12, 0.08, 0.29, 0.00, 0.71, 0.00
