onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.56, 0.54, 0.55, 0.99, 0.00, 0.01, 0.07
ont_2_musicalwork, 0.35, 0.35, 0.35, 0.99, 0.53, 0.01, 0.23
ont_3_airport, 0.45, 0.42, 0.43, 1.00, 0.00, 0.00, 0.14
ont_4_building, 0.55, 0.51, 0.52, 1.00, 0.00, 0.00, 0.10
ont_5_athlete, 0.51, 0.50, 0.50, 1.00, 0.00, 0.00, 0.16
ont_6_politician, 0.57, 0.52, 0.54, 1.00, 0.05, 0.00, 0.19
ont_7_company, 0.64, 0.62, 0.63, 0.99, 0.03, 0.01, 0.30
ont_8_celestialbody, 0.81, 0.80, 0.80, 1.00, 0.07, 0.00, 0.42
ont_9_astronaut, 0.70, 0.68, 0.68, 1.00, 0.01, 0.00, 0.35
ont_10_comicscharacter, 0.59, 0.55, 0.57, 1.00, 0.54, 0.00, 0.20
ont_11_meanoftransportation, 0.40, 0.38, 0.39, 0.98, 0.01, 0.02, 0.21
ont_12_monument, 0.21, 0.23, 0.22, 1.00, 0.00, 0.00, 0.26
ont_13_food, 0.60, 0.59, 0.59, 1.00, 0.03, 0.00, 0.07
ont_14_writtenwork, 0.63, 0.63, 0.63, 1.00, 0.08, 0.00, 0.24
ont_15_sportsteam, 0.58, 0.56, 0.57, 1.00, 0.06, 0.00, 0.11
ont_16_city, 0.47, 0.49, 0.48, 1.00, 0.39, 0.00, 0.26
ont_17_artist, 0.42, 0.38, 0.40, 1.00, 0.00, 0.00, 0.06
ont_18_scientist, 0.69, 0.68, 0.68, 0.99, 0.00, 0.01, 0.27
ont_19_film, 0.44, 0.41, 0.42, 1.00, 0.03, 0.00, 0.17
