onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.07, 0.31, 0.12, 1.00, 0.03, 0.00, 0.01
ont_2_music, 0.05, 0.15, 0.07, 1.00, 0.01, 0.00, 0.01
ont_3_sport, 0.03, 0.19, 0.05, 1.00, 0.07, 0.00, 0.06
ont_4_book, 0.09, 0.25, 0.12, 1.00, 0.01, 0.00, 0.03
ont_5_military, 0.09, 0.50, 0.15, 1.00, 0.08, 0.00, 0.22
ont_6_computer, 0.05, 0.15, 0.07, 1.00, 0.01, 0.00, 0.03
ont_7_space, 0.11, 0.60, 0.18, 1.00, 0.16, 0.00, 0.11
ont_8_politics, 0.04, 0.25, 0.06, 1.00, 0.01, 0.00, 0.07
ont_9_nature, 0.10, 0.45, 0.15, 1.00, 0.02, 0.00, 0.01
ont_10_culture, 0.03, 0.12, 0.05, 1.00, 0.00, 0.00, 0.00
