onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.47, 0.35, 0.36, 1.00, 0.08, 0.00, 0.05
ont_2_music, 0.51, 0.39, 0.41, 1.00, 0.02, 0.00, 0.03
ont_3_sport, 0.60, 0.53, 0.54, 1.00, 0.04, 0.00, 0.04
ont_4_book, 0.48, 0.40, 0.41, 1.00, 0.02, 0.00, 0.02
ont_5_military, 0.38, 0.38, 0.38, 1.00, 0.01, 0.00, 0.03
ont_6_computer, 0.41, 0.42, 0.40, 1.00, 0.00, 0.00, 0.01
ont_7_space, 0.86, 0.86, 0.85, 1.00, 0.04, 0.00, 0.03
ont_8_politics, 0.45, 0.45, 0.45, 1.00, 0.05, 0.00, 0.05
ont_9_nature, 0.62, 0.62, 0.61, 0.93, 0.03, 0.07, 0.08
ont_10_culture, 0.75, 0.79, 0.76, 1.00, 0.00, 0.00, 0.00
