Ontology,Train,Validation,Test
1. Movie,0.63,0.62,0.62
2. Music,0.72,0.71,0.79
3. Sport,0.70,0.70,0.69
4. Book,0.72,0.74,0.74
5. Military,0.68,0.63,0.62
6. Computer,0.76,0.78,0.75
7. Space,0.83,0.80,0.77
8. Politics,0.60,0.67,0.55
9. Nature,0.78,0.76,0.76
10. Culture,0.74,0.78,0.66
