onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.16, 0.36, 0.20, 0.56, 0.03, 0.44, 0.02
ont_2_music, 0.15, 0.47, 0.22, 0.60, 0.03, 0.40, 0.02
ont_3_sport, 0.07, 0.34, 0.12, 0.47, 0.01, 0.53, 0.02
ont_4_book, 0.14, 0.41, 0.19, 0.52, 0.02, 0.48, 0.01
ont_5_military, 0.03, 0.16, 0.06, 0.10, 0.02, 0.90, 0.04
ont_6_computer, 0.10, 0.44, 0.16, 0.38, 0.01, 0.62, 0.02
ont_7_space, 0.13, 0.59, 0.22, 0.27, 0.03, 0.73, 0.01
ont_8_politics, 0.09, 0.50, 0.15, 0.45, 0.01, 0.55, 0.03
ont_9_nature, 0.09, 0.48, 0.15, 0.46, 0.01, 0.54, 0.02
ont_10_culture, 0.01, 0.07, 0.02, 0.30, 0.01, 0.70, 0.02
