median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.025270, 0.100000, 0.039352, 1.000000, 0.000000, 0.000000, 0.006250
wikidata_tekgen, verified, 0.028355, 0.052357, 0.038674, 1.000000, 0.013942, 0.000000, 0.007200
wikidata_tekgen, all, 0.030130, 0.035124, 0.028106, 1.000000, 0.012112, 0.000000, 0.008939
dbpedia_webnlg, all, 0.045248, 0.035599, 0.044984, 1.000000, 0.011769, 0.000000, 0.009570

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.002500, 0.009259, 0.004545, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.015768, 0.015920, 0.014298, 1.000000, 0.001798, 0.000000, 0.002324
wikidata_tekgen, all, 0.015297, 0.015640, 0.014892, 1.000000, 0.008650, 0.000000, 0.003957
dbpedia_webnlg, all, 0.009330, 0.005427, 0.006302, 1.000000, 0.001243, 0.000000, 0.001677

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.081250, 0.156250, 0.091146, 1.000000, 0.032621, 0.000000, 0.043837
wikidata_tekgen, verified, 0.042783, 0.083705, 0.045594, 1.000000, 0.028211, 0.000000, 0.016371
wikidata_tekgen, all, 0.046721, 0.081329, 0.053370, 1.000000, 0.023286, 0.000000, 0.018760
dbpedia_webnlg, all, 0.086615, 0.072537, 0.060762, 1.000000, 0.019455, 0.000000, 0.020539

