dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.46, 0.47, 0.46, 0.15, 0.01, 0.85, 0.06
wikidata_tekgen, verified, 0.58, 0.52, 0.53, 0.05, 0.04, 0.95, 0.04
wikidata_tekgen, all, 0.54, 0.47, 0.49, 0.06, 0.07, 0.94, 0.04
dpedia_webnlg, all, 0.60, 0.51, 0.54, 0.01, 0.09, 0.99, 0.19
