dataset, subset,              P,    R,   F1,   OC,   SH,   RH,   OH
wikidata_tekgen, unseen,   0.12, 0.42, 0.18, 1.00, 0.04, 0.00, 0.04
wikidata_tekgen, verified, 0.14, 0.34, 0.18, 1.00, 0.02, 0.00, 0.02
wikidata_tekgen, all,      0.12, 0.28, 0.15, 1.00, 0.02, 0.00, 0.02
dpedia_webnlg,   all,      0.14, 0.16, 0.14, 1.00, 0.01, 0.00, 0.01
