onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.46, 0.28, 0.32, 1.00, 0.11, 0.00, 0.05
ont_2_music, 0.50, 0.33, 0.37, 1.00, 0.06, 0.00, 0.04
ont_3_sport, 0.69, 0.59, 0.62, 1.00, 0.11, 0.00, 0.05
ont_4_book, 0.46, 0.36, 0.38, 1.00, 0.05, 0.00, 0.02
ont_5_military, 0.34, 0.35, 0.34, 1.00, 0.05, 0.00, 0.07
ont_6_computer, 0.44, 0.38, 0.39, 0.94, 0.02, 0.06, 0.01
ont_7_space, 0.78, 0.75, 0.76, 1.00, 0.06, 0.00, 0.04
ont_8_politics, 0.40, 0.38, 0.38, 1.00, 0.07, 0.00, 0.06
ont_9_nature, 0.55, 0.53, 0.53, 1.00, 0.09, 0.00, 0.04
ont_10_culture, 0.66, 0.67, 0.66, 1.00, 0.06, 0.00, 0.01
