median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.387500, 0.387500, 0.387500, 1.000000, 0.000000, 0.000000, 0.044231
wikidata_tekgen, verified, 0.483385, 0.411210, 0.419797, 1.000000, 0.023225, 0.000000, 0.033050
wikidata_tekgen, all, 0.439888, 0.339383, 0.347308, 1.000000, 0.039079, 0.000000, 0.035217
dbpedia_webnlg, all, 0.590176, 0.461059, 0.484290, 1.000000, 0.000000, 0.000000, 0.162716

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.342593, 0.342593, 0.342593, 1.000000, 0.000000, 0.000000, 0.009259
wikidata_tekgen, verified, 0.452288, 0.381844, 0.380115, 1.000000, 0.010031, 0.000000, 0.015508
wikidata_tekgen, all, 0.378170, 0.328926, 0.338243, 0.999085, 0.023375, 0.000000, 0.017860
dbpedia_webnlg, all, 0.449423, 0.357811, 0.391516, 1.000000, 0.000000, 0.000000, 0.092152

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.648214, 0.648214, 0.648214, 1.000000, 0.000000, 0.000000, 0.080357
wikidata_tekgen, verified, 0.639489, 0.604506, 0.610732, 1.000000, 0.030737, 0.000000, 0.041557
wikidata_tekgen, all, 0.603532, 0.524741, 0.545028, 1.000000, 0.062709, 0.000915, 0.045543
dbpedia_webnlg, all, 0.650454, 0.550434, 0.580665, 1.000000, 0.037534, 0.000000, 0.200974

