dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen,   0.52, 0.58, 0.54, 0.95, 0.02, 0.05, 0.08
wikidata_tekgen, verified, 0.52, 0.55, 0.51, 0.96, 0.05, 0.04, 0.06
wikidata_tekgen, all,      0.46, 0.48, 0.45, 0.96, 0.11, 0.04, 0.06
dbpedia_webnlg, all,        0.52, 0.51, 0.51, 0.98, 0.11, 0.02, 0.20
