onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.44, 0.38, 0.38, 0.99, 0.16, 0.01, 0.09
ont_2_music, 0.48, 0.42, 0.42, 1.00, 0.09, 0.00, 0.07
ont_3_sport, 0.57, 0.56, 0.54, 1.00, 0.07, 0.00, 0.06
ont_4_book, 0.42, 0.46, 0.40, 1.00, 0.01, 0.00, 0.05
ont_5_military, 0.30, 0.33, 0.31, 0.99, 0.08, 0.01, 0.05
ont_6_computer, 0.50, 0.53, 0.50, 0.81, 0.00, 0.19, 0.01
ont_7_space, 0.84, 0.86, 0.85, 1.00, 0.00, 0.00, 0.03
ont_8_politics, 0.39, 0.45, 0.41, 0.98, 0.00, 0.02, 0.10
ont_9_nature, 0.66, 0.71, 0.67, 1.00, 0.03, 0.00, 0.06
ont_10_culture, 0.66, 0.77, 0.69, 0.99, 0.02, 0.01, 0.01
