dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.50, 0.57, 0.52, 0.95, 0.02, 0.05, 0.09
wikidata_tekgen, verified, 0.51, 0.56, 0.51, 0.96, 0.06, 0.04, 0.07
wikidata_tekgen, all, 0.46, 0.49, 0.45, 0.96, 0.11, 0.04, 0.06
dpedia_webnlg, all, 0.52, 0.52, 0.52, 0.99, 0.10, 0.01, 0.21
