median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.500000, 0.500000, 0.500000, 1.000000, 0.000000, 0.000000, 0.056250
wikidata_tekgen, verified, 0.499769, 0.458581, 0.446060, 1.000000, 0.032083, 0.000000, 0.035169
wikidata_tekgen, all, 0.461263, 0.364552, 0.376594, 1.000000, 0.044863, 0.000000, 0.037558
dpedia_webnlg, all, 0.597896, 0.519626, 0.540684, 1.000000, 0.011811, 0.000000, 0.182971

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.330729, 0.359375, 0.337500, 1.000000, 0.000000, 0.000000, 0.009615
wikidata_tekgen, verified, 0.457682, 0.383256, 0.395342, 1.000000, 0.018495, 0.000000, 0.021019
wikidata_tekgen, all, 0.423624, 0.352337, 0.354929, 1.000000, 0.042545, 0.000000, 0.025664
dpedia_webnlg, all, 0.480537, 0.425037, 0.443435, 0.992607, 0.000000, 0.000000, 0.117316

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.575000, 0.575000, 0.575000, 1.000000, 0.042308, 0.000000, 0.073413
wikidata_tekgen, verified, 0.627007, 0.597264, 0.597522, 1.000000, 0.045643, 0.000000, 0.049190
wikidata_tekgen, all, 0.616109, 0.555332, 0.569515, 1.000000, 0.083827, 0.000000, 0.050492
dpedia_webnlg, all, 0.650856, 0.619896, 0.630302, 1.000000, 0.040955, 0.007393, 0.252455

