onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.49, 0.35, 0.37, 1.00, 0.09, 0.00, 0.05
ont_2_music, 0.51, 0.39, 0.42, 1.00, 0.04, 0.00, 0.04
ont_3_sport, 0.60, 0.54, 0.54, 1.00, 0.07, 0.00, 0.03
ont_4_book, 0.46, 0.38, 0.39, 1.00, 0.02, 0.00, 0.02
ont_5_military, 0.38, 0.38, 0.37, 1.00, 0.04, 0.00, 0.04
ont_6_computer, 0.44, 0.45, 0.43, 0.96, 0.00, 0.04, 0.01
ont_7_space, 0.87, 0.84, 0.84, 1.00, 0.02, 0.00, 0.03
ont_8_politics, 0.46, 0.47, 0.46, 1.00, 0.05, 0.00, 0.07
ont_9_nature, 0.64, 0.62, 0.62, 1.00, 0.02, 0.00, 0.08
ont_10_culture, 0.76, 0.79, 0.77, 1.00, 0.00, 0.00, 0.00
