onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.37, 0.32, 0.32, 0.99, 0.19, 0.01, 0.08
ont_2_music, 0.45, 0.37, 0.38, 1.00, 0.10, 0.00, 0.06
ont_3_sport, 0.57, 0.55, 0.53, 0.99, 0.14, 0.01, 0.07
ont_4_book, 0.40, 0.43, 0.38, 0.99, 0.09, 0.01, 0.05
ont_5_military, 0.29, 0.34, 0.30, 1.00, 0.08, 0.00, 0.09
ont_6_computer, 0.44, 0.43, 0.41, 0.85, 0.04, 0.15, 0.01
ont_7_space, 0.77, 0.77, 0.76, 1.00, 0.11, 0.00, 0.03
ont_8_politics, 0.36, 0.39, 0.36, 0.99, 0.10, 0.01, 0.08
ont_9_nature, 0.49, 0.52, 0.49, 1.00, 0.10, 0.00, 0.05
ont_10_culture, 0.58, 0.65, 0.60, 0.99, 0.05, 0.01, 0.00
