median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.337963, 0.372685, 0.345949, 1.000000, 0.000000, 0.000000, 0.025000
wikidata_tekgen, verified, 0.533670, 0.427877, 0.443550, 1.000000, 0.027756, 0.000000, 0.030533
wikidata_tekgen, all, 0.487811, 0.369681, 0.387250, 1.000000, 0.071163, 0.000000, 0.034447
dbpedia_webnlg, all, 0.586570, 0.545315, 0.551496, 1.000000, 0.008929, 0.000000, 0.185185

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.308333, 0.308333, 0.308333, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.464583, 0.400931, 0.413170, 1.000000, 0.013985, 0.000000, 0.021336
wikidata_tekgen, all, 0.420536, 0.358595, 0.363357, 1.000000, 0.049879, 0.000000, 0.025329
dbpedia_webnlg, all, 0.519973, 0.443130, 0.467972, 0.998716, 0.000000, 0.000000, 0.124851

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.612500, 0.612500, 0.612500, 1.000000, 0.000000, 0.000000, 0.080357
wikidata_tekgen, verified, 0.663991, 0.631642, 0.627076, 1.000000, 0.050598, 0.000000, 0.055012
wikidata_tekgen, all, 0.639891, 0.578336, 0.595668, 1.000000, 0.094601, 0.000000, 0.048957
dbpedia_webnlg, all, 0.681535, 0.636720, 0.649702, 1.000000, 0.052576, 0.001284, 0.252021

