dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen,   0.19, 0.21, 0.20, 0.53, 0.01, 0.47, 0.04
wikidata_tekgen, verified, 0.23, 0.26, 0.23, 0.51, 0.01, 0.49, 0.02
wikidata_tekgen, all,      0.19, 0.22, 0.19, 0.44, 0.01, 0.56, 0.01
dbpedia_webnlg, all,       0.08, 0.05, 0.05, 0.31, 0.00, 0.69, 0.01
